Creating Table
-- START --
Number block: 23122233
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 13440000 to 13445000: 89
Add Transfer with (transactionHash - logIndex): (0x6a70610ee9505289111ca90a7083c630cf1902fbb7860f40554f643c3e154558 - 89
Add Transfer with (transactionHash - logIndex): (0x8f51f0341d6096ba4c6ed280cb6d8da9dc6c914844d475ec48db788f7c3e9fb2 - 92
number of transfer from 13455000 to 13460000: 68
Add Transfer with (transactionHash - logIndex): (0x9a7aed86a595db820704c6ce9ef21736971926011c7a1054286e99bd099f1161 - 56
Add Transfer with (transactionHash - logIndex): (0x9f505d1fc5317065dbe6abe04bcbc5b3781ba8744f15de489e6bbcf65bb13dd7 - 29
Add Transfer with (transactionHash - logIndex): (0x9f1e9f053a61ca050defaf5a85a5ab835bc36e20548d96e5fb12fca42c0e8e28 - 50
Add Transfer with (transactionHash - logIndex): (0x2775fc53862437baf8e5ad72fc04a80293f0d7fccd4d89a810ad582972c4af2f - 75
Add Transfer with (transactionHash - logIndex): (0x2a38392d8d41fd1e20d9046ed982f66f58eee11d14edae538f07ef4f220db095 - 95
Add Transfer with (transactionHash - logIndex): (0xa27d2fec113759dbdeeba6322d864a95bead1aabe96329590a6a790813017912 - 59
Add Transfer with (transactionHash - logIndex): (0x40ea53492aca745593b0cfc8524eb54b7b80ac40ea5928a0da14697f41928508 - 63
Add Transfer with (transactionHash - logIndex): (0xdd80e80bad29a9703ddf39dac585c7db7d2180b30f14feb24269b7e72583a0c0 - 87
Add Transfer with (transactionHash - logIndex): (0x31e11dd4430ab088776a43c8da23a17bd2a91e9fa333aaf56e817289d0e441fc - 43
Add Transfer with (transactionHash - logIndex): (0x9b37784f7adf6f48c22d166a30c1782f3b926a720175a441ad5d24696b36f3ab - 30
Add Transfer with (transactionHash - logIndex): (0x9bc5c4ccdc1d8e3c6a128eff6a2f5d3fb40ff0faccb66dd8dfcab039a440dcd4 - 127
Add Transfer with (transactionHash - logIndex): (0x3c9b2a3f7827e9ded66e2c75d1f6c66302c809e580610cf6f84887cfa9e7311e - 78
Add Transfer with (transactionHash - logIndex): (0x9c04e39717d05e79420a15971abfd3aee613e53eea09384b94926547f030ea12 - 92
Add Transfer with (transactionHash - logIndex): (0x8c70c1cd2a820b4f55ad75c73bb67772bacc50df26c6ec484366b032c4e2dcdf - 99
Add Transfer with (transactionHash - logIndex): (0x641a61a32ff01e5b483addfd73c90b6c7acd181264821a6eae4415b2a7660000 - 58
Add Transfer with (transactionHash - logIndex): (0x663ef37985a8ca39336980ee39bd5028e85b2ad3318353ab088fc63a89e35471 - 82
Add Transfer with (transactionHash - logIndex): (0x64e421230214c627c6e2abde84e17d338764affc6ad9d06ecfb7bb4b561d0c09 - 119
Add Transfer with (transactionHash - logIndex): (0xe7933dedab35e770081441c8bb5fc7ac464a8f8a9e552374656b4233dd0eb587 - 80
Add Transfer with (transactionHash - logIndex): (0x75ae6fa8dfdacd8157dd78d83a6d13c016112d770722a14439c3555eb312d6ff - 23
Add Transfer with (transactionHash - logIndex): (0xc417656fa616b6c2ce07bb0c43f9210748c8863db1471a34556ba86910213a7d - 83
Add Transfer with (transactionHash - logIndex): (0x7a4429a7b4dee39e9dd7e72701e5940ab0a8a4690891731b79b592eaf369e074 - 91
Add Transfer with (transactionHash - logIndex): (0xc9669392b62af3d712cc48ba8806a43d572cb242727109dd62bfb8dd7caaccac - 106
Add Transfer with (transactionHash - logIndex): (0xcd10e1bd2ff3f0528144613a5cb9e6d36c8eca9670ea082dabe027764a3513b3 - 66
Add Transfer with (transactionHash - logIndex): (0x52a38005950423958399ee69f1f81cd0bdce19a0f2b76848932b830d8eb0bfa4 - 47
Add Transfer with (transactionHash - logIndex): (0xfcfdaeae37f3dfa1b69787c24104abacc0c0a2734bf42402ba236f8035359d77 - 139
Add Transfer with (transactionHash - logIndex): (0x0c0231acf9b361aa4a4c7b57ec763c9f01995e7d3d46f1a6c88e9f49e34d4f14 - 71
Add Transfer with (transactionHash - logIndex): (0xafb001fa22e1bc7221336402a02c50ddcc699338d3542bb77efc579293cd29fb - 110
Add Transfer with (transactionHash - logIndex): (0xc642abc38e368e910f30991921033d6feee2b243a37abb9b9dcb68fc7f3cc00a - 100
