Creating Table
-- START --
Number block: 23121967
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 11715000 to 11720000: 17
Add Transfer with (transactionHash - logIndex): (0xf6c0cd230fccc9ee0dee1c14958611f8bebdab315a0a44b64a8d0df053e4a0bf - 44
Add Transfer with (transactionHash - logIndex): (0x3e8a58ae0a7d99f7b7161ce570fb8a8843e0734f30ba1b4421cb2a0cd734e7eb - 68
number of transfer from 11755000 to 11760000: 10
Add Transfer with (transactionHash - logIndex): (0x655dad3ac01f4d97232d46f5d240fa42750bd385391bc7489966b4e138e063b2 - 294
Add Transfer with (transactionHash - logIndex): (0x827451558cc8279b707c514e4e3e96c9823f20954024933288b5314e27bb9e08 - 235
Add Transfer with (transactionHash - logIndex): (0x257d66b16e547f80a5518f1eb2b0a50df24459f19de25c9da06b7214d9e24368 - 566
Add Transfer with (transactionHash - logIndex): (0x2aa700f2152667913d1f777b7f831f7ac0f0ab74728c2b075c707ab92bc29ece - 246
Add Transfer with (transactionHash - logIndex): (0xc6e6d30ab7eeb3be4cdfbe0c3e72c4946d9fd69f4d98bfb06bc5f27ec7ed6379 - 482
Add Transfer with (transactionHash - logIndex): (0x03b7faa3ce5df36cd73a136a1b396ec31c703b782175c1ed0c65246916e3294f - 811
Add Transfer with (transactionHash - logIndex): (0x70ca5ff04c40dbfe56a04bfcc3cca742a1d6dda2623c2b3d221932a7962fcb72 - 269
Add Transfer with (transactionHash - logIndex): (0xe9f01b4c9b48372020b406a7f235611124b9d31b7bd08613b7e1216f20c204a2 - 389
Add Transfer with (transactionHash - logIndex): (0x49c4e8cc92a8c32247c33832ec87e7956a85f98191c76fcd08f0d9ece7c6581b - 188
Add Transfer with (transactionHash - logIndex): (0x20f7fed441a533f2865721bde21c3a3053fe7803e5a1685451c59d5a4eea2c5b - 204
number of transfer from 11760000 to 11765000: 11
Add Transfer with (transactionHash - logIndex): (0x316a5fbab09d19c0a5b96a2e3eade9524394285415e4143a1721e181038aa433 - 287
Add Transfer with (transactionHash - logIndex): (0x52f77ae9e5e14e93e36e601497065bed1266acbd58755fda0b68cb47ed0aa299 - 274
